user_nicename	display_name first_name	last_name	nickname	user_url	description	user_avatar	oa_social_login_user_picture	avatar	avatar_url
yaakov-davis		Davis	yaakov.davis		Arthur (Yaakov) Davis, (1846-1906), born Derby. He joined his father's engineering business. A self-taught Hebrew scholar, he published <em>The Hebrew Accents of the Twenty-One Books of the Bible</em> (1892). He also began began a new edition of Hebrew and English Maḥzor, completed after his death by Herbert M. Adler. Davis was also the father of Elsie and Nina Davis (Mrs. Redcliffe Salaman), who translated many of the difficult liturgical poems or piyyutim into non-literal verse. The genus of the idea for the Maḥzor was based on Solomon Schechter, had commented in one of his essays on the need for such an edition. Arthur Davis determined that it should be carried out with the greatest accuracy, both in the Hebrew text and the English version. He enjoyed the co-operation of his daughters and of Israel Zangwill who translated the poems in verse; and of another lay scholar, Herbert Adler, a lawyer nephew of the then Chief Rabbi Hermann Adler, for the prose translation.				
abraham-vita-de-cologna		de Cologna	abraham-vita.de-cologna	https://en.wikipedia.org/wiki/Abraham_Vita_de_Cologna	Abraham (Vita) de Cologna (25 September 1755 – 24 March 1832) was an Italian-born orator, politician, and religious leader. He is considered to have been one of the first Chief Rabbis of France, following David Sinẓheim and preceding Emmanuel Deutz. As the rabbi of Mantua, Abraham Vita de Cologna was elected as a deputy to the parliament of the Kingdom of Italy, which was ruled in personal union with France under Napoleon I, and in 1806 he served as a member of the Assembly of Jewish Notables in Paris. He was later named vice-president of the Grand Sanhedrin when it was established in 1807. In 1808 he became a member of the Central Consistory of France, and subsequently served as its president from 1812 to 1826. Having presided over the French Central Consistory, he is considered to have been the second Chief Rabbi of France, David Sinẓheim having been the first. He later served as a member of the Consistory of Turin as well.				
caroline-de-litchfield-harby		de Litchfield Harby	caroline.de-litchfield-harby		Caroline de Litchfield Harby (ca.1800-1876), a poet, was associated with her brother Isaac Harby, co-founder of Beth Elohim in Charleston, South Carolina, in his educational work in New York. Several of her hymns are included in the hymn-book of Beth Elohim (1842/1856), and one prayer of hers can be found among the handwritten prayerbooks of the Reformed Society of Israel.				
abraham-de-sola		de Sola	abraham.de-sola	https://en.wikipedia.org/wiki/Abraham_de_Sola	Abraham de Sola (September 18, 1825 – June 5, 1882) was a Canadian Rabbi, author, Orientalist, and scientist. Originating from a large renowned family of Rabbis and scholars, De Sola was recognized as one of the most powerful leaders of Orthodox Judaism in North America during the latter half of the nineteenth century.				
david-de-aaron-de-sola		de Sola	David de Aaron de Sola (translation)	https://en.wikipedia.org/wiki/David_de_Aaron_de_Sola	"David de Aaron de Sola or David Aaron de Sola (1796 – 1860) (Hebrew: דוד אהרן די סולה) was a rabbi and author, born in Amsterdam, the son of Aaron de Sola. In 1818, D.A. de Sola was called to London to become one of the ministers of the Bevis Marks Congregation under Haham Raphael Meldola (who would also later become his father-in-law). De Sola's addresses before the Society for the Cultivation of Hebrew Literature led the mahamad (board of directors of the congregation) to appoint him to deliver discourses in the vernacular, and on March 26, 1831, he preached the first sermon in English ever heard within the walls of Bevis Marks Synagogue (all previous ones being spoken in Spanish or Portuguese). His discourses were subsequently published by the mahamad. Of his style, one observer wrote: ""Though a scholar and a thinker, yet he...used the most unpedantic terms and assumed a quiet, colloquial manner."				
joshuadesolamendes		de Sola Mendes	Joshua de Sola Mendes (transcription)	http://www.sandpcentral.org	"Joshua de Sola Mendis is the editor of <a href=""http://www.sandpcentral.org"">S&amp;P Central</a>, a purely volunteer effort devoted to sharing information, interest and a sense of connection among Spanish &amp; Portuguese Jewish communities around the world -- also known as Western Sephardim. With their special history, minhag, melodies, and cuisine, it is hoped that S&amp;P and related communities will know more of one another and be able to share their knowledge and love of our mutual traditions."				
frederick-de-sola-mendes		de Sola Mendes (translation)	Frederick de Sola Mendes (translation)	https://en.wikipedia.org/wiki/Frederick_de_Sola_Mendes	Frederick de Sola Mendes (Montego Bay, Jamaica, West Indies, July 8, 1850—1927) was a rabbi, author, and editor.				
david-de-sola-pool		de Sola Pool	David de Sola Pool	https://en.wikipedia.org/wiki/David_de_Sola_Pool	David de Sola Pool (דוד די סולה פול;‎ 1885–1970) was the leading 20th-century Sephardic rabbi in the United States. A scholar, author, and civic leader, he was a world leader of Judaism. Born in London, England, de Sola Pool was descended from an old and renowned family of rabbis and scholars, de Sola, which traces its origins to medieval Spain. His great grandparents were Rabbi (R.) David Aaron de Sola and Rebecca Meldola, his great-great grandfather was Haham Raphael Meldola, a prominent English Rabbi. He was also related to R. Abraham de Sola, R. Henry Pereira Mendes and Dr. Frederick de Sola Mendes. He studied at the University of London. He held a doctorate in ancient languages, summa cum laude, from the University of Heidelberg. In 1907, de Sola Pool was invited to become the rabbi of Congregation Shearith Israel — often called the Spanish and Portuguese Synagogue — located in New York City, the oldest Jewish congregation in the United States. He served as its rabbi for 63 years.				
miriam-del-banco		del Banco	miriam.del-banco	https://www.jewishencyclopedia.com/articles/5051-del-banco-miriam	Miriam del Banco (27 June 1858 - 6 November 1931) was a writer, poet, and educator. She was the daughter of Rabbi Max Del Banco, who died shortly after her birth. Her mother removed to St. Louis, in the public schools of which city the daughter was trained, displaying remarkable poetic talent. Later she was sent to her uncle at Cape Girardeau, Missouri where she attended the State Normal School. After completing the course with honors, she rejoined her mother, who in the mean time had removed to Chicago, in which city Ms. Del Banco obtained in 1885 a position as teacher in the public schools; since 1889 she has been assistant principal at the Von Humboldt School. She was a frequent contributor to both the Jewish and general press, having written a large number of poems, both Jewish and secular.				
perle-derbaremdiger-peretz		Derbaremdiger (Peretz)	perle.derbaremdiger-peretz		"Perle Derbaremdiger Peretz (estimated between 1711 and 1771) was the daughter of Malka Peretz and Rabbi Yisroel Peretz. She was the wife of the  ḥassidic rebbe, Levi Yitsḥak of Berdichev, z""tl."				
chana-deutsch		Deutsch	Chana Deutsch (Magyar translation)	https://www.facebook.com/chana.deutsch	Chana Deutsch is a Hungarian translator living in Israel.				
lauren-deutsch		Deutsch	Lieba B. Ruth	http://www.tradsincontempolife.blogspot.com	"Lieba B. Ruth is the <em>nom du rituèle</em> of Lauren W. Deutsch.  Her FaceBook page, “<a href=""https://www.facebook.com/pages/Jewish-and-Solar-Holiday-Graphics-by-Lieba-B-Ruth-aka-Lauren-Deutsch/261427247267722"">Jewish and Solar Holiday Graphics</a>”, has other new approaches to traditions for our time. A former stringer for JTA, she blogs at <a href=""http://www.tradsincontempolife.blogspot.com"">Trads in Contempo Life</a>. She is an advocate of no less/more than 10 people in any minyan so there can be more minyanim, less building funds."			/wp-content/avatars/lieba-ruth.jpg	
uri-deyoung		DeYoung	uri.deyoung	http://deyoungaza.blogspot.com/	Uri DeYoung lives in Samaria, Israel.				
dimus-parrhesia-press		Dimus Parrhesia Press	dimus.parrhesia.press	http://dimus.parrhesia.press	Dimus Parrhesia Press is an independent print-publishing house dedicated to disseminating new and historical works of Jewish magic and myth, liturgy and theurgy, folklore and fantasy smuggled from across the River Sambatyon. We aim to revive a Jewish literary culture fascinated by fantastic lore and magical praxes.				
david-dine-wirtschafter		Dine Wirtschafter	david.dine-wirtschafter	http://www.lextai.org/about-us/our-rabbi	David Dine Wirtschafter is the chief rabbi of Temple Adath Israel in Lexington, Kentucky.				
avi-dolgin		Dolgin	avi.dolgin	http://www.flickr.com/people/dolgin/	"Avi Dolgin is a Vancouver native and active member of <a href=""http://orshalom.ca"" target=""_blank"">Congregation Or Shalom</a>."			http://opensiddur.org/wp-content/avatars/avi-dolgin.jpg	
efrayim-dror		Dror	Efrayim Dror (translation)	https://he.wikipedia.org/wiki/אפרים_דרור	"Efrayim Dror (Troche) (Heb: <span class=""hebrew"">אפרים דרור (טְרוֹכֶה)</span>; 1903-1981), born in Warsaw, was a Hebrew translator of musical texts and an Israeli music critic. In 1925, he immigrated to Mandate Palestine. During World War II he translated songs of warriors and anthems of the Allies, which were distributed to the soldiers of the Jewish Brigade. Beginning in the 1940s, he translated songs for the Erets Israel Opera (later the Israeli Opera). In the 1950s, he was also the regular translator of Eitan Lustig, conductor of the Tel Aviv Chamber Choir, translating many books and works performed in the concert hall in seven languages. He was a music critic and a member of the Committee for Musical Terms of the Academy of the Hebrew Language."				
